POI,Lon,Lat
metro,-3.582531126,40.4757686
metro,-3.616210052,40.46389128
metro,-3.6770523,40.4565932
metro,-3.648674575,40.46799292
metro,-3.641813746,40.40522026
metro,-3.703170083,40.47688139
metro,-3.6768482,40.4579538
metro,-3.6776315,40.4504367
metro,-3.678220652,40.44426482
metro,-3.679175081,40.46761952
metro,-3.661791533,40.41146804
metro,-3.707522394,40.48465657
metro,-3.678585458,40.41838875
metro,-3.716357309,40.49108858
metro,-3.6793754,40.4297799
metro,-3.635122746,40.40050942
metro,-3.675802343,40.46299967
metro,-3.595982859,40.40131238
metro,-3.602404005,40.40381066
metro,-3.621566677,40.40004254
metro,-3.6958849,40.46943003
metro,-3.608865632,40.40420925
metro,-3.652739767,40.41024021
metro,-3.447526066,40.30366479
metro,-3.477452635,40.31901407
metro,-3.524799759,40.34134104
metro,-3.547281479,40.36676887
metro,-3.520602741,40.32836871
street_Castellana,-3.684449121,40.48240024
street_Castellana,-3.684601835,40.48186046
street_Castellana,-3.684772514,40.48125918
street_Castellana,-3.684916245,40.48073989
street_Castellana,-3.685086925,40.48007027
street_Castellana,-3.685257605,40.47950314
street_Castellana,-3.685437268,40.47892234
street_Castellana,-3.685607948,40.47834153
street_Castellana,-3.685778628,40.47776755
street_Castellana,-3.685949307,40.4771799
street_Castellana,-3.686119987,40.47655808
street_Castellana,-3.686317617,40.47590209
street_Castellana,-3.686488297,40.47523926
street_Castellana,-3.686685926,40.47456275
street_Castellana,-3.686910505,40.4738589
street_Castellana,-3.687081185,40.47312771
street_Castellana,-3.68729678,40.47247169
street_Castellana,-3.68746746,40.47180199
street_Castellana,-3.687674073,40.47109811
street_Castellana,-3.687862719,40.47040789
street_Castellana,-3.688060348,40.46969717
street_Castellana,-3.688248995,40.46902061
street_Castellana,-3.688473573,40.46830303
street_Castellana,-3.688698152,40.46759912
street_Castellana,-3.688850866,40.46697038
street_Castellana,-3.688940697,40.4661366
street_Castellana,-3.689030529,40.46537799
street_Castellana,-3.68912036,40.46468088
street_Castellana,-3.689201209,40.4640316
street_Castellana,-3.689300024,40.46332081
street_Castellana,-3.689371889,40.46258951
street_Castellana,-3.689479687,40.46178302
street_Castellana,-3.689560535,40.46105853
street_Castellana,-3.689641383,40.46025202
street_Castellana,-3.689749181,40.45941816
street_Castellana,-3.689847996,40.45867314
street_Castellana,-3.689946811,40.45773673
street_Castellana,-3.690081558,40.4567593
street_Castellana,-3.690207322,40.45572033
street_Castellana,-3.690333086,40.45470869
street_Castellana,-3.690449867,40.45369704
street_Castellana,-3.690548682,40.4527879
street_Castellana,-3.690683429,40.45178306
street_Castellana,-3.690782244,40.45092858
street_Castellana,-3.690881058,40.45014929
street_Castellana,-3.690952924,40.44937683
street_Castellana,-3.691051738,40.44865221
street_Castellana,-3.69114157,40.44792075
street_Castellana,-3.691231401,40.44716193
street_Castellana,-3.691330216,40.44638943
street_Castellana,-3.691420048,40.44545969
street_Castellana,-3.691473946,40.44466666
street_Castellana,-3.691509879,40.44392148
street_Castellana,-3.691545812,40.44319681
street_Castellana,-3.691590727,40.44247212
street_Castellana,-3.691635643,40.44169957
street_Castellana,-3.691680559,40.44094752
street_Castellana,-3.691716492,40.4402775
street_Castellana,-3.691743441,40.4397579
street_Castellana,-3.691420048,40.43923145
street_Castellana,-3.691096654,40.43867765
street_Castellana,-3.690782244,40.43813751
street_Castellana,-3.690476817,40.43767259
street_Castellana,-3.690162406,40.4371598
street_Castellana,-3.689901895,40.43674272
street_Castellana,-3.689596468,40.43625044
street_Castellana,-3.689300024,40.43579234
street_Castellana,-3.689003579,40.43530688
street_Castellana,-3.688761034,40.43471202
street_Castellana,-3.688626287,40.43408981
street_Castellana,-3.688554422,40.43354964
street_Castellana,-3.688590354,40.43294793
street_Castellana,-3.688761034,40.43236672
street_Castellana,-3.688931714,40.43173765
street_Castellana,-3.689111377,40.43101968
street_Castellana,-3.68929104,40.43034273
street_Castellana,-3.689452737,40.42972731
street_Castellana,-3.689623417,40.42902983
street_Castellana,-3.689794097,40.42840072
street_Castellana,-3.68997376,40.42768956
