LOCATIONID,LOCATIONNAME,ZONELEVELID,geometry
0-EU-ES-46-02-002-250-16-003,Nou Benicalap,8,-0.391117|-0.393912|-0.39112|-0.390499|-0.388531|-0.386301|-0.383227|-0.381725|-0.380055|-0.380353|-0.381331|-0.381346|-0.382231|-0.386482|-0.38864|-0.388906|-0.391117|39.498738|39.497113|39.4943|39.494026|39.493305|39.492552|39.493243|39.493552|39.493921|39.49496|39.497345|39.498895|39.498676|39.498119|39.500252|39.500089|39.498738
0-EU-ES-46-02-002-250-01-003,El Carme,8,-0.379171|-0.379086|-0.378275|-0.376874|-0.376889|-0.376861|-0.376133|-0.374887|-0.374809|-0.374626|-0.374119|-0.373611|-0.375046|-0.377267|-0.378977|-0.380438|-0.380319|-0.380255|-0.380536|-0.380925|-0.382244|-0.382697|-0.38298|-0.383067|-0.383295|-0.383465|-0.383666|-0.383566|-0.383641|-0.383699|-0.383761|-0.383825|-0.383991|-0.383105|-0.38237|-0.381941|-0.381343|-0.380349|-0.379802|-0.379171|39.476551|39.476561|39.476654|39.476612|39.477318|39.477397|39.478962|39.478972|39.479024|39.479252|39.479879|39.480499|39.481586|39.48281|39.4829|39.482997|39.481946|39.481384|39.481297|39.481173|39.480752|39.480541|39.480309|39.480054|39.479389|39.4789|39.478328|39.478228|39.477796|39.477438|39.477046|39.476678|39.475718|39.47585|39.476007|39.476104|39.476183|39.476315|39.476434|39.476551
0-EU-ES-46-02-002-250-02-002,El Pla del Remei,8,-0.373623|-0.371644|-0.366674|-0.364146|-0.364794|-0.365212|-0.365148|-0.365612|-0.366285|-0.366652|-0.366841|-0.367995|-0.368049|-0.368284|-0.368964|-0.368967|-0.369786|-0.371262|-0.37174|-0.372012|-0.372855|-0.373597|-0.374133|-0.374828|-0.374911|-0.37422|-0.373914|-0.373623|39.464989|39.465768|39.467835|39.468889|39.469932|39.470603|39.470748|39.471286|39.47208|39.472506|39.472728|39.472254|39.472029|39.471856|39.471838|39.471789|39.470876|39.469723|39.469352|39.469149|39.468547|39.468014|39.467634|39.467145|39.467149|39.465685|39.465069|39.464989
0-EU-ES-46-02-002-250-02-003,Gran Vía,8,-0.364146|-0.365627|-0.366749|-0.369308|-0.371171|-0.371744|-0.372283|-0.372769|-0.373616|-0.373085|-0.371759|-0.370201|-0.367997|-0.364882|-0.362531|-0.360944|-0.361058|-0.3615|-0.362133|-0.362324|-0.362469|-0.362923|-0.363397|-0.364146|39.468889|39.468272|39.467804|39.46674|39.465965|39.465729|39.465516|39.465325|39.46499|39.464849|39.464563|39.464222|39.463727|39.463045|39.462545|39.463187|39.463423|39.464326|39.465611|39.465928|39.466165|39.466907|39.467674|39.468889
0-EU-ES-46-02-002-250-03-003,La Petxina,8,-0.390652|-0.391187|-0.392034|-0.392638|-0.393107|-0.393255|-0.393414|-0.394968|-0.396878|-0.395498|-0.394705|-0.393092|-0.392059|-0.391606|-0.391546|-0.391244|-0.390042|-0.388668|-0.388448|-0.387483|-0.386413|-0.386265|-0.386091|-0.386193|-0.386281|-0.387066|-0.387194|-0.387233|-0.387947|-0.388306|-0.389397|-0.389639|-0.390145|-0.390652|39.478155|39.478889|39.478549|39.478305|39.478116|39.478057|39.477986|39.477305|39.476473|39.474548|39.473435|39.471189|39.469757|39.469131|39.469048|39.469113|39.469385|39.469664|39.469919|39.470733|39.471617|39.471754|39.471914|39.472058|39.472173|39.473201|39.473369|39.473423|39.474419|39.474922|39.476431|39.476766|39.477461|39.478155
0-EU-ES-46-02-002-250-03-001,El Botànic,8,-0.383407|-0.383432|-0.383611|-0.383984|-0.384024|-0.384024|-0.383994|-0.383949|-0.383981|-0.383991|-0.383749|-0.383641|-0.383566|-0.383666|-0.383371|-0.383209|-0.38298|-0.382697|-0.382244|-0.380546|-0.380255|-0.380438|-0.381978|-0.383965|-0.386777|-0.388802|-0.391013|-0.391186|-0.389799|-0.38838|-0.387197|-0.38619|-0.385752|-0.384907|-0.384441|-0.384185|-0.38407|-0.383574|-0.383407|39.470347|39.470363|39.470635|39.471645|39.472016|39.472449|39.47318|39.47399|39.475338|39.475718|39.477125|39.477802|39.478228|39.478328|39.479168|39.479639|39.480309|39.480541|39.480752|39.481294|39.481384|39.482997|39.482597|39.481764|39.480521|39.479612|39.478958|39.478888|39.476986|39.475024|39.473374|39.472054|39.471434|39.470344|39.469649|39.469266|39.469413|39.470134|39.470347
0-EU-ES-46-02-002-250-01-004,El Pilar,8,-0.381095|-0.381101|-0.381726|-0.38194|-0.382373|-0.383105|-0.383991|-0.383974|-0.383948|-0.383995|-0.384024|-0.384025|-0.384024|-0.383984|-0.383611|-0.382711|-0.382044|-0.381234|-0.380679|-0.380266|-0.379709|-0.37975|-0.380206|-0.380953|-0.381016|-0.380892|-0.380711|-0.380398|-0.381035|-0.381111|-0.381191|-0.381222|-0.381279|-0.381216|-0.381126|-0.380988|-0.380799|-0.381038|-0.381054|-0.381095|39.476123|39.476215|39.476131|39.476104|39.476006|39.47585|39.475718|39.475021|39.473998|39.473175|39.472467|39.472255|39.472017|39.471645|39.470635|39.470928|39.470936|39.470865|39.470983|39.471096|39.471248|39.472405|39.472354|39.472279|39.472429|39.472579|39.472838|39.47322|39.47345|39.473582|39.473726|39.474068|39.474431|39.474658|39.474812|39.47505|39.475366|39.475414|39.475638|39.476123
0-EU-ES-46-02-002-250-05-003,Trinitat,8,-0.36925|-0.369576|-0.3701|-0.370419|-0.370778|-0.371582|-0.371967|-0.372368|-0.372529|-0.373034|-0.373927|-0.37364|-0.373611|-0.373524|-0.372747|-0.372102|-0.371316|-0.370405|-0.369639|-0.368798|-0.368125|-0.36754|-0.367343|-0.367066|-0.36636|-0.365968|-0.365599|-0.365196|-0.36496|-0.364577|-0.363995|-0.363629|-0.363584|-0.36348|-0.364642|-0.365386|-0.367807|-0.368605|-0.368749|-0.36925|39.486288|39.486169|39.486328|39.48599|39.485427|39.484159|39.483552|39.482919|39.482655|39.481815|39.480738|39.480521|39.480499|39.480434|39.479995|39.479706|39.478898|39.478478|39.478021|39.477533|39.4771|39.477242|39.477385|39.47796|39.479413|39.480223|39.480985|39.481829|39.482341|39.483161|39.484316|39.485054|39.48513|39.485303|39.486232|39.48569|39.486342|39.486558|39.486226|39.486288
0-EU-ES-46-02-002-250-11-005,Natzaret,8,-0.331604|-0.333017|-0.334306|-0.334645|-0.334793|-0.334905|-0.334994|-0.33519|-0.335515|-0.335633|-0.335355|-0.335591|-0.335782|-0.335986|-0.336283|-0.336409|-0.336442|-0.334991|-0.334395|-0.333448|-0.330924|-0.330509|-0.330289|-0.330019|-0.329441|-0.329146|-0.328435|-0.327771|-0.327734|-0.327708|-0.327595|-0.327666|-0.32799|-0.3283|-0.329964|-0.3309|-0.331604|39.453333|39.454599|39.454769|39.454844|39.45396|39.453267|39.45275|39.451562|39.449369|39.448398|39.448353|39.446411|39.444364|39.442319|39.43978|39.43846|39.43797|39.438077|39.438333|39.439687|39.442585|39.443045|39.443305|39.443624|39.444018|39.444226|39.444535|39.444755|39.445624|39.446264|39.446892|39.448433|39.449012|39.449445|39.451492|39.452554|39.453333
0-EU-ES-46-02-002-250-05-002,Morvedre,8,-0.378967|-0.378012|-0.377267|-0.376385|-0.375046|-0.373927|-0.373034|-0.372593|-0.372386|-0.370923|-0.370419|-0.3701|-0.369788|-0.371319|-0.371615|-0.371837|-0.372429|-0.372795|-0.374563|-0.375683|-0.376274|-0.375978|-0.377299|-0.378089|-0.378522|-0.378627|-0.378803|-0.378967|39.482899|39.482849|39.48281|39.482324|39.481586|39.480738|39.481815|39.48255|39.48289|39.485199|39.485989|39.486328|39.486881|39.487161|39.486416|39.486562|39.486701|39.486697|39.486537|39.48643|39.486384|39.48693|39.487444|39.486309|39.485595|39.485279|39.484217|39.482899
